subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
3	20	37	20	20	0	1
3	50	37	20	20	0	1
3	5	37	10	30	0	0
3	100	31	10	30	0	0
3	20	25	10	30	0	0
3	50	19	10	30	0	0
3	1	37	10	30	1	0
3	10	37	10	30	0	0
3	1	43	10	30	1	0
3	5	19	10	30	0	0
3	50	25	10	30	0	0
3	20	43	10	30	0	0
3	100	43	10	30	0	0
3	10	43	10	30	0	0
3	5	43	10	30	0	0
3	50	37	10	30	0	0
3	1	25	10	30	1	0
3	20	19	10	30	0	0
3	100	19	10	30	0	0
3	10	19	10	30	0	0
3	1	19	10	30	1	0
3	100	25	10	30	0	0
3	50	31	10	30	0	0
3	10	31	10	30	0	0
3	5	31	10	30	0	0
3	20	37	10	30	0	0
3	100	37	10	30	0	0
3	50	43	10	30	0	0
3	10	25	10	30	0	0
3	20	31	10	30	0	0
3	1	31	10	30	1	0
3	5	25	10	30	0	0
4	10	37	20	20	1	1
4	50	43	20	20	0	1
4	5	43	20	20	1	1
4	1	31	20	20	1	1
4	20	31	20	20	0	1
4	100	31	20	20	0	1
4	100	25	20	20	0	1
4	5	19	20	20	0	1
4	10	25	20	20	0	1
4	20	19	20	20	0	1
4	1	37	20	20	1	1
4	50	19	20	20	0	1
4	20	25	20	20	0	1
4	1	19	20	20	0	1
4	10	43	20	20	1	1
4	5	31	20	20	1	1
4	100	43	20	20	0	1
4	50	25	20	20	0	1
4	10	31	20	20	1	1
4	20	43	20	20	1	1
4	100	19	20	20	0	1
4	5	37	20	20	1	1
4	1	43	20	20	1	1
4	50	37	20	20	0	1
4	20	37	20	20	1	1
4	1	25	20	20	1	1
4	5	25	20	20	1	1
4	100	37	20	20	0	1
4	50	31	20	20	0	1
4	10	19	20	20	0	1
4	20	31	20	20	1	1
4	50	31	20	20	0	1
4	10	25	20	20	1	1
4	5	31	20	20	1	1
4	100	25	20	20	0	1
4	1	37	20	20	1	1
4	5	43	20	20	1	1
4	50	19	20	20	0	1
4	1	43	20	20	1	1
4	10	31	20	20	1	1
4	20	37	20	20	1	1
4	100	19	20	20	0	1
4	20	19	20	20	0	1
4	50	25	20	20	0	1
4	10	19	20	20	0	1
4	100	31	20	20	0	1
4	5	25	20	20	1	1
4	1	31	20	20	1	1
4	20	25	20	20	1	1
4	100	43	20	20	0	1
4	10	43	20	20	1	1
4	5	19	20	20	0	1
4	1	25	20	20	1	1
4	50	37	20	20	0	1
4	100	37	20	20	0	1
4	20	43	20	20	1	1
4	5	37	20	20	1	1
4	50	43	20	20	0	1
4	1	19	20	20	1	1
4	10	37	20	20	1	1
4	1	43	10	30	1	0
4	20	43	10	30	1	0
4	100	25	10	30	0	0
4	10	25	10	30	1	0
4	50	25	10	30	0	0
4	5	25	10	30	1	0
4	20	19	10	30	0	0
4	10	43	10	30	1	0
4	5	43	10	30	1	0
4	50	43	10	30	0	0
4	1	19	10	30	1	0
4	100	31	10	30	0	0
4	10	37	10	30	1	0
4	1	37	10	30	1	0
4	20	37	10	30	1	0
4	50	37	10	30	0	0
4	5	19	10	30	0	0
4	100	43	10	30	0	0
4	5	31	10	30	1	0
4	1	25	10	30	1	0
4	100	19	10	30	0	0
4	20	31	10	30	1	0
4	50	19	10	30	0	0
4	10	19	10	30	0	0
4	20	25	10	30	1	0
4	5	37	10	30	1	0
4	100	37	10	30	0	0
4	10	31	10	30	1	0
4	50	31	10	30	0	0
4	1	31	10	30	1	0
4	20	43	10	30	1	0
4	50	37	10	30	0	0
4	100	43	10	30	0	0
4	1	43	10	30	1	0
4	10	19	10	30	1	0
4	5	25	10	30	1	0
4	50	19	10	30	0	0
4	10	37	10	30	1	0
4	5	43	10	30	1	0
4	20	31	10	30	1	0
4	100	31	10	30	0	0
4	1	37	10	30	1	0
4	20	25	10	30	1	0
4	1	19	10	30	1	0
4	5	31	10	30	1	0
4	50	25	10	30	0	0
