subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq	SD_like	SD_likeRaw
5	50	37	10	30	0	0	0.05	89
5	5	25	10	30	0	0	0.89	9
5	20	19	10	30	0	0	0.42	54
5	100	31	10	30	0	0	0	93
5	10	43	10	30	0	0	0.84	14
5	5	19	10	30	0	0	0.89	9
5	1	37	10	30	1	0	1	1
5	50	31	10	30	0	0	0.05	89
5	20	25	10	30	0	0	0.42	54
5	10	25	10	30	0	0	0.84	14
5	100	43	10	30	0	0	0	93
5	20	31	10	30	0	0	0.42	54
5	10	37	10	30	0	0	0.84	14
5	100	43	10	30	0	0	0	93
5	50	31	10	30	0	0	0.05	89
5	1	43	10	30	1	0	1	1
5	5	31	10	30	0	0	0.89	9
5	10	19	10	30	0	0	0.84	14
5	5	25	10	30	0	0	0.89	9
5	100	19	10	30	0	0	0	93
5	50	25	10	30	0	0	0.05	89
5	20	43	10	30	0	0	0.42	54
5	1	25	10	30	1	0	1	1
5	100	31	10	30	0	0	0	93
5	10	43	10	30	0	0	0.84	14
5	1	37	10	30	1	0	1	1
5	50	43	10	30	0	0	0.05	89
5	20	37	10	30	0	0	0.42	54
5	5	37	10	30	1	0	0.89	9
5	100	25	10	30	0	0	0	93
5	20	19	10	30	0	0	0.42	54
5	1	19	10	30	1	0	1	1
5	5	43	10	30	1	0	0.89	9
5	50	37	10	30	0	0	0.05	89
5	10	25	10	30	0	0	0.84	14
5	20	25	10	30	0	0	0.42	54
5	5	19	10	30	0	0	0.89	9
5	50	19	10	30	0	0	0.05	89
5	10	31	10	30	0	0	0.84	14
5	1	31	10	30	1	0	1	1
5	100	37	10	30	0	0	0	93
5	20	31	20	20	0	1	0.42	54
5	5	31	20	20	1	1	0.89	9
5	10	43	20	20	0	1	0.84	14
5	1	31	20	20	1	1	1	1
5	50	43	20	20	0	1	0.05	89
5	100	37	20	20	0	1	0	93
5	20	37	20	20	0	1	0.42	54
5	100	19	20	20	1	1	0	93
5	10	25	20	20	0	1	0.84	14
5	5	43	20	20	0	1	0.89	9
5	50	37	20	20	0	1	0.05	89
5	1	43	20	20	1	1	1	1
5	5	19	20	20	1	1	0.89	9
5	50	31	20	20	0	1	0.05	89
5	10	19	20	20	1	1	0.84	14
5	20	19	20	20	1	1	0.42	54
5	1	19	20	20	1	1	1	1
5	100	25	20	20	0	1	0	93
5	10	37	20	20	0	1	0.84	14
5	5	25	20	20	1	1	0.89	9
5	50	25	20	20	0	1	0.05	89
5	1	25	20	20	1	1	1	1
5	20	25	20	20	0	1	0.42	54
5	100	31	20	20	0	1	0	93
5	50	19	20	20	1	1	0.05	89
5	100	43	20	20	0	1	0	93
5	20	43	20	20	0	1	0.42	54
5	1	37	20	20	1	1	1	1
5	10	31	20	20	0	1	0.84	14
5	5	37	20	20	0	1	0.89	9
5	1	37	20	20	1	1	1	1
5	5	43	20	20	0	1	0.89	9
5	10	37	20	20	0	1	0.84	14
5	50	37	20	20	0	1	0.05	89
5	100	31	20	20	0	1	0	93
5	20	43	20	20	0	1	0.42	54
5	1	43	20	20	1	1	1	1
5	100	37	20	20	0	1	0	93
5	50	19	20	20	1	1	0.05	89
5	20	37	20	20	0	1	0.42	54
5	10	19	20	20	1	1	0.84	14
5	5	19	20	20	1	1	0.89	9
5	10	25	20	20	1	1	0.84	14
5	20	19	20	20	1	1	0.42	54
5	100	25	20	20	0	1	0	93
5	1	25	20	20	1	1	1	1
5	50	43	20	20	0	1	0.05	89
5	5	31	20	20	1	1	0.89	9
5	1	31	20	20	1	1	1	1
5	5	25	20	20	1	1	0.89	9
5	10	31	20	20	0	1	0.84	14
5	50	25	20	20	0	1	0.05	89
5	20	25	20	20	0	1	0.42	54
5	100	43	20	20	0	1	0	93
5	100	19	20	20	1	1	0	93
5	5	37	20	20	0	1	0.89	9
5	20	31	20	20	0	1	0.42	54
5	10	43	20	20	0	1	0.84	14
5	1	19	20	20	1	1	1	1
5	50	31	20	20	0	1	0.05	89
6	50	43	20	20	0	1	0.67	29
6	10	25	20	20	1	1	0.97	2
6	100	19	20	20	0	1	0.56	38
6	5	19	20	20	1	1	1	1
6	1	19	20	20	1	1	1	1
6	20	31	20	20	1	1	0.89	9
6	5	25	20	20	1	1	1	1
6	1	37	20	20	1	1	1	1
6	100	37	20	20	0	1	0.56	38
6	50	37	20	20	0	1	0.67	29
6	10	19	20	20	1	1	0.97	2
6	20	43	20	20	1	1	0.89	9
6	10	43	20	20	1	1	0.97	2
6	50	31	20	20	0	1	0.67	29
6	100	25	20	20	0	1	0.56	38
6	20	19	20	20	1	1	0.89	9
6	5	37	20	20	1	1	1	1
6	1	25	20	20	0	1	1	1
6	10	31	20	20	1	1	0.97	2
6	5	43	20	20	1	1	1	1
6	50	19	20	20	0	1	0.67	29
6	100	43	20	20	0	1	0.56	38
6	20	37	20	20	1	1	0.89	9
6	1	31	20	20	1	1	1	1
6	10	37	20	20	1	1	0.97	2
6	50	25	20	20	0	1	0.67	29
6	20	25	20	20	1	1	0.89	9
6	100	31	20	20	0	1	0.56	38
6	1	43	20	20	1	1	1	1
6	5	31	20	20	1	1	1	1
6	5	19	20	20	1	1	1	1
6	20	31	20	20	1	1	0.89	9
6	50	43	20	20	0	1	0.67	29
6	1	37	20	20	1	1	1	1
6	10	43	20	20	1	1	0.97	2
6	100	31	20	20	0	1	0.56	38
6	100	37	20	20	0	1	0.56	38
6	10	19	20	20	1	1	0.97	2
6	5	25	20	20	1	1	1	1
6	20	19	20	20	1	1	0.89	9
6	50	19	20	20	0	1	0.67	29
6	1	25	20	20	1	1	1	1
6	10	37	20	20	1	1	0.97	2
6	100	25	20	20	0	1	0.56	38
6	5	31	20	20	1	1	1	1
6	50	37	20	20	0	1	0.67	29
6	1	19	20	20	1	1	1	1
6	20	43	20	20	1	1	0.89	9
6	20	25	20	20	1	1	0.89	9
6	50	31	20	20	0	1	0.67	29
6	1	43	20	20	1	1	1	1
6	10	31	20	20	1	1	0.97	2
6	100	43	20	20	0	1	0.56	38
6	5	37	20	20	1	1	1	1
6	100	19	20	20	0	1	0.56	38
6	10	25	20	20	1	1	0.97	2
6	20	37	20	20	1	1	0.89	9
6	5	43	20	20	1	1	1	1
6	1	31	20	20	1	1	1	1
6	50	25	20	20	0	1	0.67	29
6	5	31	10	30	0	0	1	1
6	20	31	10	30	0	0	0.89	9
6	50	43	10	30	0	0	0.67	29
6	10	25	10	30	0	0	0.97	2
6	1	37	10	30	0	0	1	1
6	100	31	10	30	0	0	0.56	38
6	20	37	10	30	0	0	0.89	9
6	10	43	10	30	0	0	0.97	2
